Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Strain,TISSUE
SRR6636226,E14.5,RNA-Seq,100,140381500,PRJNA432054,SAMN08429604,94144858,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623913,GSM2967471,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967471,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636227,E14.5,RNA-Seq,100,220489700,PRJNA432054,SAMN08429603,146959409,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623914,GSM2967472,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967472,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636228,E14.5,RNA-Seq,100,272745400,PRJNA432054,SAMN08429602,182208542,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623915,GSM2967473,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967473,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636229,E14.5,RNA-Seq,100,267239900,PRJNA432054,SAMN08429601,177802971,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623916,GSM2967474,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967474,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636230,E14.5,RNA-Seq,100,127449100,PRJNA432054,SAMN08429600,85140884,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623917,GSM2967475,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967475,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636231,E14.5,RNA-Seq,100,225993200,PRJNA432054,SAMN08429599,150306536,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623918,GSM2967476,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967476,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636232,E14.5,RNA-Seq,100,257730100,PRJNA432054,SAMN08429598,171775800,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623919,GSM2967477,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967477,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636233,E14.5,RNA-Seq,100,159795200,PRJNA432054,SAMN08429597,106235188,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623920,GSM2967478,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967478,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636234,E14.5,RNA-Seq,100,111130800,PRJNA432054,SAMN08429596,80294950,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623921,GSM2967479,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967479,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636235,E14.5,RNA-Seq,100,115002900,PRJNA432054,SAMN08429595,79827773,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623922,GSM2967480,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967480,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636236,E14.5,RNA-Seq,100,80745400,PRJNA432054,SAMN08429605,53563150,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623923,GSM2967481,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967481,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636237,E14.5,RNA-Seq,100,169448200,PRJNA432054,SAMN08429594,112318305,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623924,GSM2967482,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967482,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636238,E14.5,RNA-Seq,100,116595700,PRJNA432054,SAMN08429515,76534724,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623925,GSM2967483,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967483,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636239,E14.5,RNA-Seq,100,193429600,PRJNA432054,SAMN08429516,128043721,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623926,GSM2967484,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967484,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636240,E14.5,RNA-Seq,100,183429600,PRJNA432054,SAMN08429517,123100936,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623927,GSM2967485,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967485,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636241,E14.5,RNA-Seq,100,83517300,PRJNA432054,SAMN08429564,57744673,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623928,GSM2967486,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967486,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636242,E14.5,RNA-Seq,100,284508300,PRJNA432054,SAMN08429645,187197396,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623929,GSM2967487,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967487,Brain,SRP131682,CD1,"dMGE,Brain"
SRR6636243,E14.5,RNA-Seq,100,171079800,PRJNA432054,SAMN08429644,115335029,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3623930,GSM2967488,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-03-07T00:00:00Z,GSM2967488,Brain,SRP131682,CD1,"dMGE,Brain"
